
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1679353200000,2023-03-20 23:00:00,1INCH/USD,0.5252,0.5317,0.5226,0.5289,540.650866,285.9502430274
1679349600000,2023-03-20 22:00:00,1INCH/USD,0.5252,0.5252,0.5226,0.5252,10.745787,5.6436873324
1679346000000,2023-03-20 21:00:00,1INCH/USD,0.5244,0.5252,0.5229,0.5252,5.581416,2.9313596832
1679342400000,2023-03-20 20:00:00,1INCH/USD,0.5216,0.5244,0.5216,0.5244,17.778733,9.323167585199998
1679338800000,2023-03-20 19:00:00,1INCH/USD,0.5226,0.5244,0.5216,0.5216,20.780482,10.8390994112
1679335200000,2023-03-20 18:00:00,1INCH/USD,0.5252,0.5252,0.5226,0.5226,52.318791,27.341800176599996
1679331600000,2023-03-20 17:00:00,1INCH/USD,0.5229,0.5252,0.5229,0.5252,5.059657,2.6573318564
1679328000000,2023-03-20 16:00:00,1INCH/USD,0.5299,0.5299,0.5229,0.5229,618.5995,323.46567855000006
1679324400000,2023-03-20 15:00:00,1INCH/USD,0.5299,0.5299,0.5287,0.5299,9.783709,5.1843873991
1679320800000,2023-03-20 14:00:00,1INCH/USD,0.5323,0.5323,0.5277,0.5299,211.49132,112.069250468
1679317200000,2023-03-20 13:00:00,1INCH/USD,0.5312,0.5323,0.5297,0.5323,15.034147,8.0026764481
1679313600000,2023-03-20 12:00:00,1INCH/USD,0.5323,0.5323,0.5304,0.5312,11.044912,5.8670572544
1679310000000,2023-03-20 11:00:00,1INCH/USD,0.5387,0.5387,0.5304,0.5323,160.8898,85.64164054
1679306400000,2023-03-20 10:00:00,1INCH/USD,0.5395,0.5395,0.5361,0.5387,35.15041,18.935525867
1679302800000,2023-03-20 09:00:00,1INCH/USD,0.5426,0.5431,0.5229,0.5395,2538.621887,1369.5865080365
1679299200000,2023-03-20 08:00:00,1INCH/USD,0.5436,0.545,0.5426,0.5426,14.477617,7.855554984199999
1679295600000,2023-03-20 07:00:00,1INCH/USD,0.5404,0.5436,0.5404,0.5436,18.729951,10.181601363599999
1679292000000,2023-03-20 06:00:00,1INCH/USD,0.5427,0.5428,0.5404,0.5404,23.792969,12.8577204476
1679288400000,2023-03-20 05:00:00,1INCH/USD,0.5404,0.5428,0.5404,0.5427,3.116282,1.6912062414
1679284800000,2023-03-20 04:00:00,1INCH/USD,0.5404,0.5428,0.5404,0.5404,20.685971,11.178698728399999
