,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,1.661,3.004,7.431,9.579,68.51,0.0,0.0,2.228,412.3,1.001,5.948,1.304,21.48,7.348,0.0,11.66,3.163,2.458,0.0,20.67,0.0,360.5,0.0,6.592,4.227,10.86,24.77,1.104
1,1.744,3.356,8.138,579,97.84,3.562,905,9.368,809.7,997,6.493,1.909,18.77,2.521,1.527,16.25,422,2.852,0.25,39.43,8.405,689.5,5.303,9.218,1.167,14.95,25.47,4.877
2,1.809,1.756,1.003,1.149,135.1,1.043,198,5.115,1575.0,1.374,5.883,7.813,14.34,205,1.885,22.54,7.572,2.364,0.4,94.44,1.625,1297.0,5.688,7.678,1.328,20.29,16.67,2.461
3,2.152,2.591,1.065,794,120.2,108,1.684,7.054,1610.0,1.478,6.673,5.505,16.15,5.634,207,22.39,9.806,3.751,3.786,134.8,2.102,1006.0,4.658,1.108,2.146,18.05,18.91,5.839
4,1.797,1.479,1.069,6.292,155.1,141,2.308,3.118,2906.0,1.515,5.506,9.245,24.27,2.678,1.301,30.67,1.009,2.593,4.819,164.1,2.089,1747.0,3.582,7.738,1.283,23.51,30.73,1.971
5,1.472,3.433,7.557,7.357,78.6,1.699,1.342,2.961,515.9,8.409,5.561,2.2,17.0,4.712,112,12.9,3.778,1.901,2.237,31.16,2.832,477.3,9.959,5.932,3.454,12.43,20.21,1.079
6,2.124,132,1.096,6.272,79.47,2.166,8.175,3.813,515.3,1.402,6.894,7.959,20.04,2.315,9.894,13.16,1.811,2.709,3.535,12.58,8.088,453.1,3.966,8.839,1.152,12.22,24.17,2.198
7,192,3.218,9.524,8.328,73.34,2.278,3.036,2.386,506.2,1.249,5.907,9.591,18.75,872,867,12.84,3.249,3.306,9.076,23.47,6.316,409.0,1.349,7.036,5.473,11.52,22.47,8.722
8,2.037,2.105,8.668,1.547,48.34,1.364,9.252,7.551,223.6,1.596,7.751,1.479,25.44,3.064,1.364,8.678,2.196,279,3.393,11.73,0.05,170.4,9.252,1.066,1.199,7.691,31.89,6.457
9,1.521,2.163,8.875,4.732,94.87,3.528,4.608,2.783,880.8,122,5.912,3.981,14.74,2.009,1.067,17.27,3.428,3.109,2.151,29.06,1.251,668.7,1.855,8.187,778,14.76,17.93,1.506
