,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,target
0,1.759,1.909,9.676,5.608,81.87,1.781,2.688,2.133,579.7,1.298,6.183,1.285,18.84,1.839,9.997,13.75,2.213,2.744,1.255,17.26,8.312,496.6,1.529,7.238,7.952,12.76,25.99,1.646,1
1,1.428,1.332,842,5.539,128,6.637,1.145,2.256,2477,1.408,5.313,1.321,32.47,4.097,1.078,27.9,7.392,2.713,3.995,109.9,1.625,1223,2.664,7.568,113,19.53,45.41,2.644,0
2,1.875,371,9.905,8.439,133.7,1.265,1.641,4.286,1671,1.278,602,1.892,26.83,3.416,2.536,24.19,9.761,3.271,3.703,103.6,2.152,1234,5.904,7.632,1.669,20.2,33.81,4.674,0
3,122,1.302,7.838,4.369,114.6,4.178,4.445,1.309,1210,9.862,5.243,1.046,13.23,9.976,7.437,19.82,4.834,1.783,1.048,50.95,8.341,992.1,1.153,5.871,6.217,17.85,18.42,8.274,1
4,1.846,1.961,7.497,2.667,107.1,2.307,3.649,17,1084,1.009,5.325,5.679,20.2,292,5.297,19.18,2.473,4.677,2.477,22.95,8.737,857.6,1.423,7.623,7.112,16.69,26.56,1.446,0
5,1.974,1.719,1.041,5.072,87.32,6.158,9.847,3.317,907.2,153,6.782,8.249,20.28,3.724,956,17.38,3.704,3.739,3.664,31.33,1.492,545.2,2.185,1.027,1.436,13.28,28,2.147,0
6,2.197,3.997,1.371,1.546,59.96,2.421,3.332,3.901,326.6,185,7.696,1.13,13.9,2.097,158,10.57,3.538,3.681,9.996,19.63,7.262,257.8,2.197,8.982,1.225,9.295,17.84,254,1
7,1.773,2.598,8.043,4.351,88.54,2.344,4.697,3.087,706,9.368,5.429,1.057,23.77,1.442,1.007,15.01,4.347,2.663,1.359,39.93,6.106,590,3.371,6.321,6.807,13.75,26.34,2.667,1
8,1.349,2.354,6.613,6.854,76.83,2.386,8.777,8.925,507.2,9.457,6.612,1.554,21.54,3.399,1.553,12.79,256,2.305,3.218,20.24,875,432,6.663,9.952,1.064,11.87,28.18,6.063,1
9,1.893,1.936,926,6.356,133.6,1.144,1.784,5.252,1926,1.281,6.232,1.199,28.77,5.329,1.519,25.05,8.426,2.818,4.251,106.4,1.941,1207,3.863,1.005,2.063,19.55,36.27,4.765,0
10,1.807,2.105,1.183,9.538,103.8,852,203,6,909.4,1.732,7.083,1.961,23.95,4.967,2.041,17.11,3.331,3.013,5.911,32.52,2.163,731.3,6.019,1.067,187,15.46,36.33,494,0
11,1.566,3.082,1.006,1.496,70.21,2.583,2.363,4.785,396.5,1.216,6.669,1.805,14.71,824,1.583,11.35,2.073,1.902,3.938,19.08,4.306,372.7,1.453,7.313,5.743,11.08,16.82,2.121,1
12,1.632,1.344,8.511,3.632,84.07,3.261,1.461,2.585,636.9,1.128,5.894,5.735,15.82,1.346,2.386,14.41,1.903,2.651,112,15.5,25,537.3,1.128,8.385,5.251,13.2,20.45,7.861,1
13,233,3.491,9.968,9.845,60.07,4.908,1.975,7.877,297.1,1.221,8.743,1.911,18.9,3.748,2.527,10.06,4.653,3.135,4.609,24.2,1.145,244.5,1.027,1.055,1.972,9.042,23.4,659,1
14,1.467,2.671,8.983,4.352,82.61,2.923,2.562,1.777,545.9,9.701,5.863,2.342,18.42,4.619,1.164,13.3,1.839,1.987,4.833,14.16,5.013,523.8,1.343,6.169,3.766,13.03,22.81,4.899,1
15,1.466,1.065,8.739,8.534,81.29,133,9.193,3.351,570.7,1.162,6.133,9.899,13.06,5.445,7.408,13.63,2.889,1.783,2.758,21.79,399,508.8,618,7.319,3.774,12.81,16.15,6.364,1
16,2.015,2.678,1.225,1.418,76.2,7.404,5.929,3.002,472.4,1.359,5.875,2.293,17.36,8.368,191,12.4,6.412,222,7.153,48.84,8.946,435.6,1.267,6.033,721,11.89,18.99,1.489,1
17,1.967,1.678,1.075,4.097,85.63,311,4.568,2.425,630.5,1.312,6.811,7.477,15.71,2.776,649,14.5,1.852,3.184,189,14.67,7.283,520,1.698,8.183,127,13.08,20.49,1.898,1
18,1.487,1.568,8.759,9.113,72.48,1.899,5.133,2.477,518.1,1.699,6.529,9.861,21.26,2.196,6.435,13.01,2.344,2.829,312,16.41,8.278,396.5,2.443,8.832,6.575,11.34,29.15,1.557,1
19,1.971,1.778,1.115,9.037,117.4,1.054,1.855,4.968,1302,1.418,6.166,1.4,20.74,3.498,1.841,20.47,8.113,2.463,3.583,93.91,1.515,963.7,5.206,7.738,1.665,17.68,25.11,4.954,0
20,1.538,1.145,1.049,6.174,116.1,1.043,2.159,512,1660,1.376,6.365,1.41,24.68,383,1.569,23.14,1.088,216,489,122.3,1.721,984.6,4.644,93,1.603,17.47,32.33,3.634,0
21,1.868,1.996,8.261,721,75.71,1.349,1.972,2.635,527.2,1.144,611,6.329,18.24,8.906,8,13.1,2.273,2.785,9.203,17.47,6.296,437.6,1.311,7.408,4.751,11.94,21.33,838,1
22,2.217,271,9.989,7.595,67.41,1.201,2.995,3.451,402.8,1.219,6.481,1.534,19.29,1.486,8.614,11.54,355,2.826,7.987,23.13,3.203,336.1,288,7.552,8.578,10.49,23.31,2.219,1
23,1.717,2.471,92,9.882,100.2,7.483,1.122,2.142,830.9,1.257,6.097,8.413,22.76,1.997,1.763,16.43,3.129,2.556,2.846,29.44,1.476,728.2,4.531,6.828,1.036,15.37,25.84,2.444,0
24,1.792,1.884,115,6.056,129.5,1.062,2.197,4.787,2053,1.495,6.552,1.161,18.9,4.116,1.733,25.93,1.111,2.968,6.121,133,198,1217,5.638,9.929,1.642,19.53,26.24,3.203,0
25,1.814,1.282,0.1,5.043,132.9,9.333,1.519,1.892,1844,1.522,5.572,1.033,27.06,2.945,8.185,24.33,3.977,3.151,3.788,52.34,1.697,1288,2.117,7.999,1.088,20.31,39.16,1.578,0
26,1.937,2.015,1.029,8.146,78.07,3.326,4.783,1.798,559.5,1.432,6.161,1.652,17.72,1.773,7.513,13.56,2.841,3.049,1.603,22.22,6.266,446.2,1.843,7.081,9.758,12.1,25.8,1.631,1
27,211,1.528,9.516,4.235,88.99,3.711,4.479,1.593,670,1.185,5.853,9.195,15.18,1.724,1.043,14.98,2.479,2.955,1.456,19.41,9.993,587.4,1.457,6.912,7.688,13.85,21.74,1.541,1
28,188,2.662,1.066,6.773,79.08,2.882,2.855,4.143,545.2,1.427,6.471,8.163,13.29,2.585,8.094,13.34,2.005,3.469,9.915,15.24,8.187,455.8,1.018,9.241,9.509,12.19,17.81,2.456,1
29,2.027,1.817,1.137,3.659,95.55,8.123,1.293,4.108,985.5,1.368,6.758,1.15,21.59,429,1.272,17.87,4.226,3.698,3.587,40.09,1.834,656.9,2.572,1.094,1.365,14.71,30.7,2.855,0
30,1.828,3.357,1.243,1.193,54.66,9.259,0.03,3.048,273.9,1.639,6.757,2.067,20.98,1.698,9.259,9.565,3.582,2.972,9.001,18.39,2.778,221.8,0.03,7.712,8.963,8.598,27.04,3.162,1
31,1.305,2.384,9.462,1.835,58.74,2.308,9.263,5.601,270,1.179,7.163,9.789,15.76,1.879,2.308,9.414,3.132,1.652,1.544,16.94,3.846,245.2,9.263,7.722,1.243,8.95,17.07,676,1
32,1.781,274,8.451,653,80.43,3.099,683,4.651,551.3,105,6.249,01.04,19.89,2.158,1.403,13.46,3.642,2.685,1.904,28.32,7.625,471.3,4.712,7.764,1.014,12.46,23.07,3.369,1
33,1.669,2.277,8.877,1.027,65.85,2.438,4.358,589,357.4,1.461,6.714,1.023,16.58,2.246,1.097,10.83,1.144,2.691,1.783,7.326,8.333,320.8,2.613,9.479,8.066,10.26,22.04,3.084,1
34,163,1.445,8.117,5.724,63.19,5.159,247,2.411,376.3,1.126,6.439,1.341,21.28,7.094,3.527,11.11,1.851,2.349,1.235,11.6,2.579,307.3,2.074,8.061,3.912,10.03,28.94,5.697,1
35,186,1.559,1.068,6.176,120.8,9.451,1.569,2.725,1493,1.492,5.941,9.225,20.58,2.536,1.046,21.86,5.449,3.074,3.759,67.36,151,1052,2.913,7.863,1.248,18.31,26.2,1.877,0
36,1.673,1.977,7.734,5.343,77.25,5.051,1.123,9.502,513.1,1.001,5.649,5.996,14.08,5.332,5.051,12.85,2.113,2.293,4.116,15.82,1.852,461.4,1.123,6.037,3.212,12.18,16.47,5.767,1
37,1.985,1.865,1.039,1.582,55.27,0,0,6.736,317,146,7.098,2.079,16.84,131,0,10.17,5.169,2.445,0,28.85,0,234.3,0,8.865,7.428,8.734,22.8,1.966,1
38,1.714,2.005,8.458,7.976,89.78,2.944,3.534,283,750,1.195,5.898,1.046,15.98,1.252,9.046,15.66,3.892,2.725,1.117,32.74,7.453,611.2,1.608,7.234,5.895,14.04,21.58,1.295,1
39,1.701,3.141,7.699,7.339,77.42,0,0,3.136,558.9,9.422,596,3.647,29.97,5.213,0,13.45,4.455,2.409,0,35.13,0,465.4,0,6.743,3.398,12.27,38.05,8.243,1
40,1.648,4.783,1.142,1.345,188.5,1.595,3.201,4.476,2499,1.142,5.525,1.476,18.47,1.516,1.407,28.11,2.873,1.648,3.201,525.6,1.595,2499,6.389,5.525,1.516,28.11,18.47,2.772,0
41,1.713,1.237,9.997,4.714,117.3,8.293,1.698,2.556,1437,1.401,5.916,1.077,28.03,3.762,111,21.53,3.897,2.972,6.399,43.95,197,981.6,3.697,9.075,1.314,17.75,38.54,2.015,0
42,1.657,1.962,0.11,7.327,77.83,2.798,3.781,2.234,549.9,1.521,6.608,504,13.44,1.632,7.986,13.45,2.513,2.781,1.622,18.54,7.393,445.2,1.798,8.052,9.009,12.07,15.77,1.153,1
43,1.722,2.711,9.138,9.172,54.42,0,0,3.399,259.2,1.162,6.724,7.873,14.45,7.057,0,9.262,2.204,2.592,0,11.36,0,227.2,0,7.848,4.276,8.671,17.04,8.007,1
44,1.966,1.792,1.257,5.393,102.5,1.097,2.032,4.168,1102,1.531,7.069,6.583,11.89,3.583,132,18.79,4.209,3.216,583,44.64,1.827,736.9,4.303,101,1.555,15.46,17.04,2.321,0
45,1.496,1.482,8.445,6.032,84.55,2.456,3.554,2.496,708.8,1.276,5.674,8.907,17.02,1.311,9.057,15.14,2.927,2.506,1.786,24.68,9.678,546.4,2.259,7.623,4.994,13.27,23.6,1.104,1
46,1.733,1.467,1.062,8.482,130.7,974,2.417,7.259,1933,171,6.697,0.78,19.82,5.955,1.971,25.28,7.661,2.749,8.489,92.81,2.507,1206,68,1.297,1.849,19.73,25.59,5.057,0
47,1.829,1.065,1.063,8.166,171.5,1.845,3.339,5.893,2562,1.573,6.782,1.474,24.91,6.076,203,30,8.973,2.355,6.476,120,2.867,1878,573,1.051,2.665,25.22,33.62,5.693,0
